threshold,TP,FP,TN,FN,signals,fp_ratio_of_signals,precision,recall
0.34,32,109,1851,8,141,0.7730496453900709,0.22695035460992907,0.8
0.3425,32,107,1853,8,139,0.7697841726618705,0.2302158273381295,0.8
0.34500000000000003,31,107,1853,9,138,0.7753623188405797,0.2246376811594203,0.775
0.35000000000000003,29,105,1855,11,134,0.7835820895522388,0.21641791044776118,0.725
0.355,29,102,1858,11,131,0.7786259541984732,0.22137404580152673,0.725
0.36,28,98,1862,12,126,0.7777777777777778,0.2222222222222222,0.7
0.365,28,93,1867,12,121,0.768595041322314,0.23140495867768596,0.7
0.37,27,89,1871,13,116,0.7672413793103449,0.23275862068965517,0.675
0.375,27,88,1872,13,115,0.7652173913043478,0.23478260869565218,0.675
0.38,27,87,1873,13,114,0.7631578947368421,0.23684210526315788,0.675
0.385,27,81,1879,13,108,0.75,0.25,0.675
0.39,27,80,1880,13,107,0.7476635514018691,0.2523364485981308,0.675
0.395,26,76,1884,14,102,0.7450980392156863,0.2549019607843137,0.65
0.4,25,75,1885,15,100,0.75,0.25,0.625
0.405,25,72,1888,15,97,0.7422680412371134,0.25773195876288657,0.625
0.41000000000000003,25,70,1890,15,95,0.7368421052631579,0.2631578947368421,0.625
0.41500000000000004,25,69,1891,15,94,0.7340425531914894,0.26595744680851063,0.625
0.42,25,67,1893,15,92,0.7282608695652174,0.2717391304347826,0.625
0.425,25,65,1895,15,90,0.7222222222222222,0.2777777777777778,0.625
0.43,25,60,1900,15,85,0.7058823529411765,0.29411764705882354,0.625
0.435,25,59,1901,15,84,0.7023809523809523,0.2976190476190476,0.625
0.44,25,58,1902,15,83,0.6987951807228916,0.30120481927710846,0.625
0.445,25,57,1903,15,82,0.6951219512195121,0.3048780487804878,0.625
0.45,25,53,1907,15,78,0.6794871794871795,0.32051282051282054,0.625
0.455,25,52,1908,15,77,0.6753246753246753,0.3246753246753247,0.625
0.46,24,50,1910,16,74,0.6756756756756757,0.32432432432432434,0.6
0.465,24,50,1910,16,74,0.6756756756756757,0.32432432432432434,0.6
0.47000000000000003,24,45,1915,16,69,0.6521739130434783,0.34782608695652173,0.6
0.47500000000000003,24,45,1915,16,69,0.6521739130434783,0.34782608695652173,0.6
0.48,24,45,1915,16,69,0.6521739130434783,0.34782608695652173,0.6
