threshold,TP,FP,TN,FN,signals,fp_ratio_of_signals,precision,recall
0.325,30,122,1838,10,152,0.8026315789473685,0.19736842105263158,0.75
0.33,30,119,1841,10,149,0.7986577181208053,0.20134228187919462,0.75
0.335,30,113,1847,10,143,0.7902097902097902,0.2097902097902098,0.75
0.34,30,112,1848,10,142,0.7887323943661971,0.2112676056338028,0.75
0.34500000000000003,30,111,1849,10,141,0.7872340425531915,0.2127659574468085,0.75
0.35000000000000003,30,108,1852,10,138,0.782608695652174,0.21739130434782608,0.75
0.355,30,107,1853,10,137,0.781021897810219,0.21897810218978103,0.75
0.36,30,106,1854,10,136,0.7794117647058824,0.22058823529411764,0.75
0.365,30,105,1855,10,135,0.7777777777777778,0.2222222222222222,0.75
0.37,30,104,1856,10,134,0.7761194029850746,0.22388059701492538,0.75
0.375,30,102,1858,10,132,0.7727272727272727,0.22727272727272727,0.75
0.38,30,102,1858,10,132,0.7727272727272727,0.22727272727272727,0.75
0.385,30,102,1858,10,132,0.7727272727272727,0.22727272727272727,0.75
0.39,29,97,1863,11,126,0.7698412698412699,0.23015873015873015,0.725
0.395,29,94,1866,11,123,0.7642276422764228,0.23577235772357724,0.725
0.4,29,94,1866,11,123,0.7642276422764228,0.23577235772357724,0.725
0.405,29,93,1867,11,122,0.7622950819672131,0.23770491803278687,0.725
0.41000000000000003,29,93,1867,11,122,0.7622950819672131,0.23770491803278687,0.725
0.41500000000000004,28,93,1867,12,121,0.768595041322314,0.23140495867768596,0.7
0.42,28,91,1869,12,119,0.7647058823529411,0.23529411764705882,0.7
0.425,28,88,1872,12,116,0.7586206896551724,0.2413793103448276,0.7
0.43,28,86,1874,12,114,0.7543859649122807,0.24561403508771928,0.7
0.435,28,85,1875,12,113,0.7522123893805309,0.24778761061946902,0.7
0.44,28,84,1876,12,112,0.75,0.25,0.7
0.445,28,81,1879,12,109,0.7431192660550459,0.25688073394495414,0.7
0.45,28,80,1880,12,108,0.7407407407407407,0.25925925925925924,0.7
0.455,28,77,1883,12,105,0.7333333333333333,0.26666666666666666,0.7
0.46,28,76,1884,12,104,0.7307692307692307,0.2692307692307692,0.7
0.465,28,74,1886,12,102,0.7254901960784313,0.27450980392156865,0.7
0.47000000000000003,28,73,1887,12,101,0.7227722772277227,0.27722772277227725,0.7
0.47500000000000003,28,71,1889,12,99,0.7171717171717171,0.2828282828282828,0.7
0.48,28,70,1890,12,98,0.7142857142857143,0.2857142857142857,0.7
0.485,28,68,1892,12,96,0.7083333333333334,0.2916666666666667,0.7
0.49,28,66,1894,12,94,0.7021276595744681,0.2978723404255319,0.7
0.495,28,65,1895,12,93,0.6989247311827957,0.3010752688172043,0.7
0.5,28,63,1897,12,91,0.6923076923076923,0.3076923076923077,0.7
0.505,28,62,1898,12,90,0.6888888888888889,0.3111111111111111,0.7
0.51,28,60,1900,12,88,0.6818181818181818,0.3181818181818182,0.7
0.515,27,58,1902,13,85,0.6823529411764706,0.3176470588235294,0.675
0.52,27,58,1902,13,85,0.6823529411764706,0.3176470588235294,0.675
0.525,27,57,1903,13,84,0.6785714285714286,0.32142857142857145,0.675
0.53,27,56,1904,13,83,0.6746987951807228,0.3253012048192771,0.675
0.535,27,56,1904,13,83,0.6746987951807228,0.3253012048192771,0.675
0.54,27,53,1907,13,80,0.6625,0.3375,0.675
0.545,27,53,1907,13,80,0.6625,0.3375,0.675
0.55,26,53,1907,14,79,0.6708860759493671,0.3291139240506329,0.65
0.555,26,52,1908,14,78,0.6666666666666666,0.3333333333333333,0.65
0.56,26,51,1909,14,77,0.6623376623376623,0.33766233766233766,0.65
0.5650000000000001,26,47,1913,14,73,0.6438356164383562,0.3561643835616438,0.65
0.5700000000000001,26,47,1913,14,73,0.6438356164383562,0.3561643835616438,0.65
0.5750000000000001,26,45,1915,14,71,0.6338028169014085,0.36619718309859156,0.65
0.58,26,43,1917,14,69,0.6231884057971014,0.37681159420289856,0.65
0.585,26,43,1917,14,69,0.6231884057971014,0.37681159420289856,0.65
0.59,26,43,1917,14,69,0.6231884057971014,0.37681159420289856,0.65
0.595,26,43,1917,14,69,0.6231884057971014,0.37681159420289856,0.65
0.6,26,42,1918,14,68,0.6176470588235294,0.38235294117647056,0.65
0.605,26,39,1921,14,65,0.6,0.4,0.65
0.61,26,38,1922,14,64,0.59375,0.40625,0.65
0.615,26,37,1923,14,63,0.5873015873015873,0.4126984126984127,0.65
0.6180191681868263,26,36,1924,14,62,0.5806451612903226,0.41935483870967744,0.65
0.62,26,34,1926,14,60,0.5666666666666667,0.43333333333333335,0.65
0.625,26,33,1927,14,59,0.559322033898305,0.4406779661016949,0.65
0.63,26,33,1927,14,59,0.559322033898305,0.4406779661016949,0.65
0.635,26,32,1928,14,58,0.5517241379310345,0.4482758620689655,0.65
0.64,25,32,1928,15,57,0.5614035087719298,0.43859649122807015,0.625
0.645,24,32,1928,16,56,0.5714285714285714,0.42857142857142855,0.6
0.65,24,32,1928,16,56,0.5714285714285714,0.42857142857142855,0.6
0.655,24,31,1929,16,55,0.5636363636363636,0.43636363636363634,0.6
0.66,24,29,1931,16,53,0.5471698113207547,0.4528301886792453,0.6
0.665,24,29,1931,16,53,0.5471698113207547,0.4528301886792453,0.6
0.67,24,29,1931,16,53,0.5471698113207547,0.4528301886792453,0.6
0.675,24,29,1931,16,53,0.5471698113207547,0.4528301886792453,0.6
0.68,24,29,1931,16,53,0.5471698113207547,0.4528301886792453,0.6
0.685,24,27,1933,16,51,0.5294117647058824,0.47058823529411764,0.6
0.6900000000000001,24,27,1933,16,51,0.5294117647058824,0.47058823529411764,0.6
0.6950000000000001,24,26,1934,16,50,0.52,0.48,0.6
0.7000000000000001,24,25,1935,16,49,0.5102040816326531,0.4897959183673469,0.6
0.705,24,24,1936,16,48,0.5,0.5,0.6
0.71,23,24,1936,17,47,0.5106382978723404,0.48936170212765956,0.575
0.715,23,23,1937,17,46,0.5,0.5,0.575
0.72,23,23,1937,17,46,0.5,0.5,0.575
0.725,23,22,1938,17,45,0.4888888888888889,0.5111111111111111,0.575
0.73,23,21,1939,17,44,0.4772727272727273,0.5227272727272727,0.575
0.735,23,21,1939,17,44,0.4772727272727273,0.5227272727272727,0.575
0.74,23,20,1940,17,43,0.46511627906976744,0.5348837209302325,0.575
0.745,23,18,1942,17,41,0.43902439024390244,0.5609756097560976,0.575
0.75,23,17,1943,17,40,0.425,0.575,0.575
0.755,23,17,1943,17,40,0.425,0.575,0.575
0.76,22,17,1943,18,39,0.4358974358974359,0.5641025641025641,0.55
0.765,22,17,1943,18,39,0.4358974358974359,0.5641025641025641,0.55
0.77,22,17,1943,18,39,0.4358974358974359,0.5641025641025641,0.55
0.775,21,17,1943,19,38,0.4473684210526316,0.5526315789473685,0.525
0.78,21,17,1943,19,38,0.4473684210526316,0.5526315789473685,0.525
0.785,20,17,1943,20,37,0.4594594594594595,0.5405405405405406,0.5
0.79,20,16,1944,20,36,0.4444444444444444,0.5555555555555556,0.5
0.795,20,15,1945,20,35,0.42857142857142855,0.5714285714285714,0.5
0.8,20,15,1945,20,35,0.42857142857142855,0.5714285714285714,0.5
0.805,20,15,1945,20,35,0.42857142857142855,0.5714285714285714,0.5
0.81,20,15,1945,20,35,0.42857142857142855,0.5714285714285714,0.5
0.8150000000000001,20,13,1947,20,33,0.3939393939393939,0.6060606060606061,0.5
0.8200000000000001,20,12,1948,20,32,0.375,0.625,0.5
0.8250000000000001,20,12,1948,20,32,0.375,0.625,0.5
